,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
342,Niko Goodrum,27,9,MLB-AL,Detroit,112,472,423,61,105,27,5,12,45,46,1,138,1,0,2,7,12,2,0.248,0.322,0.42100000000000004,0.743
343,Brian Goodwin,28,0,MLB-AL,Los Angeles,113,371,334,59,96,27,2,15,43,30,2,100,3,1,3,1,5,3,0.287,0.349,0.515,0.8640000000000001
344,Alex Gordon,35,0,MLB-AL,Kansas City,130,555,490,69,127,30,1,12,65,44,3,87,14,1,6,12,5,1,0.259,0.33399999999999996,0.39799999999999996,0.732
345,Dee Gordon,31,0,MLB-AL,Seattle,97,360,337,33,93,10,5,3,31,14,0,49,1,3,5,7,19,4,0.276,0.303,0.36200000000000004,0.665
346,Terrance Gore,28,56,MLB-AL,Kansas City,37,58,51,13,14,2,1,0,1,6,0,18,1,0,0,0,13,4,0.275,0.36200000000000004,0.353,0.715
347,Phil Gosselin,30,82,MLB-NL,Philadelphia,32,50,49,3,12,3,0,0,6,1,0,10,0,0,0,1,0,0,0.245,0.26,0.306,0.5660000000000001
348,Trevor Gott,26,21,MLB-NL,San Francisco,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
349,Matt Grace,30,14,MLB-NL,Washington,3,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
350,Yasmani Grandal,30,0,MLB-NL,Milwaukee,128,523,427,57,105,21,2,21,63,86,2,110,5,0,5,12,5,0,0.24600000000000002,0.375,0.452,0.8270000000000001
351,Curtis Granderson,38,1,MLB-NL,Miami,118,341,298,42,55,17,1,11,33,38,1,94,3,0,2,3,0,1,0.185,0.282,0.359,0.6409999999999999
352,Juan Graterol,30,39,MLB-NL,Cincinnati,5,17,17,1,3,0,0,0,1,0,0,4,0,0,0,0,0,0,0.17600000000000002,0.17600000000000002,0.17600000000000002,0.353
353,Jon Gray,27,16,MLB-NL,Colorado,26,59,47,1,3,0,0,0,1,3,0,22,0,9,0,2,0,0,0.064,0.12,0.064,0.184
354,Sonny Gray,29,1,MLB-NL,Cincinnati,28,56,42,2,6,0,1,0,3,2,0,18,0,12,0,0,0,0,0.14300000000000002,0.182,0.19,0.37200000000000005
355,Chad Green,28,60,MLB-AL,New York,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
356,Zach Green,25,31,MLB-NL,San Francisco,7,16,14,1,2,1,0,0,1,2,0,6,0,0,0,2,0,0,0.14300000000000002,0.25,0.214,0.46399999999999997
357,Didi Gregorius,29,0,MLB-AL,New York,63,263,249,37,63,10,1,13,47,11,0,40,1,0,2,4,1,0,0.253,0.285,0.45799999999999996,0.743
358,Grayson Greiner,26,80,MLB-AL,Detroit,43,169,154,13,25,3,0,5,14,13,0,57,1,0,1,2,0,0,0.162,0.231,0.27899999999999997,0.51
359,Zack Greinke,35,37,MLB-NL,Arizona,24,54,48,7,13,4,1,3,8,2,0,11,0,4,0,2,1,0,0.271,0.3,0.583,0.883
360,Randal Grichuk,27,0,MLB-AL,Toronto,129,536,497,62,116,24,3,23,60,34,0,141,4,0,1,16,2,0,0.233,0.287,0.433,0.72
361,Trent Grisham,22,0,MLB-NL,Milwaukee,25,85,75,11,17,3,0,4,11,6,0,23,2,0,2,2,0,0,0.22699999999999998,0.294,0.42700000000000005,0.721
362,Robbie Grossman,29,0,MLB-AL,Oakland,117,433,374,52,94,19,2,6,34,56,1,78,1,0,2,6,9,4,0.251,0.349,0.361,0.71
363,Robert Gsellman,25,124,MLB-NL,New York,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1.0,,
365,Javy Guerra,33,13,MLB-NL,Washington,5,5,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0.0,0.0,0.0,0.0
366,Junior Guerra,34,15,MLB-NL,Milwaukee,3,3,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.667
367,Vladimir Guerrero Jr.,20,0,MLB-AL,Toronto,104,430,385,47,107,23,1,15,59,42,0,72,2,0,1,14,0,0,0.278,0.35100000000000003,0.46,0.8109999999999999
368,Luis Guillorme,24,0,MLB-NL,New York,34,52,46,6,10,3,0,1,3,5,0,11,0,1,0,2,0,0,0.217,0.294,0.348,0.642
369,Lourdes Gurriel Jr.,25,24,MLB-AL,Toronto,79,321,294,50,82,18,2,19,47,20,0,79,4,1,2,4,6,2,0.27899999999999997,0.331,0.5479999999999999,0.879
370,Yuli Gurriel,35,1,MLB-AL,Houston,127,544,501,78,155,38,2,27,97,33,2,57,4,0,6,8,4,3,0.309,0.353,0.555,0.9079999999999999
371,Jandel Gustave,26,21,MLB-NL,San Francisco,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
372,Kelvin Gutierrez,24,80,MLB-AL,Kansas City,20,79,73,4,19,2,1,1,11,5,0,24,0,0,1,2,1,0,0.26,0.304,0.35600000000000004,0.66
373,Ronald Guzman,24,0,MLB-AL,Texas,69,228,197,25,38,16,0,8,29,26,1,65,1,0,4,6,1,2,0.193,0.285,0.396,0.6809999999999999
374,Jedd Gyorko,30,0,MLB-NL,"St. Louis,Los Angeles",48,83,75,5,14,1,0,2,8,8,0,21,0,0,0,2,2,0,0.187,0.265,0.28,0.545
375,Eric Haase,26,0,MLB-AL,Cleveland,3,7,6,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.0,0.14300000000000002,0.0,0.14300000000000002
376,Josh Hader,25,58,MLB-NL,Milwaukee,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
377,Cole Hamels,35,1,MLB-NL,Chicago,19,40,36,1,4,1,0,0,4,1,0,12,1,1,1,2,0,0,0.111,0.154,0.139,0.293
378,Billy Hamilton,28,0,"MLB-AL,MLB-NL","Kansas City,Atlanta",103,326,293,36,64,13,2,0,14,28,0,78,0,3,2,1,21,5,0.218,0.285,0.276,0.561
379,J.D. Hammer,24,46,MLB-NL,Philadelphia,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
380,Garrett Hampson,24,0,MLB-NL,Colorado,81,236,215,24,46,7,3,3,19,17,1,70,0,2,2,1,7,2,0.214,0.26899999999999996,0.316,0.586
