Roto_Rank,Roto_Rank_Bat,Season,Points,Total_Zn,Total_Z,Name,Team,Age,BA,R,RBI,HR,SB,BA_zscore,R_zscore,RBI_zscore,HR_zscore,SB_zscore,Roto_Rank_Pit,K,ERA,WHIP,Saves,Wins,K_zscore,ERA_zscore,WHIP_zscore,Saves_zscore,Wins_zscore
54,45.0,2019.0,493.0,1097.5597992990738,8.57490544827837,Nelson Cruz,Twins,38.0,0.311,81.0,108.0,41.0,0.0,0.9511716349393781,1.86986315013214,2.849989982878619,3.3456545433189104,-0.44177386299067756,,,,,,,,,,,
55,46.0,2019.0,417.0,1169.9416125706016,8.533281620292138,Marcell Ozuna,Cardinals,28.0,0.243,80.0,89.0,29.0,12.0,0.45055107106000525,1.837227984174225,2.21518896003706,2.170213129270627,1.860100475750221,,,,,,,,,,,
56,47.0,2019.0,464.0,1324.7807383662125,8.495633456816234,Michael Conforto,Mets,26.0,0.257,90.0,92.0,33.0,7.0,0.5536200106822291,2.1635796437533763,2.3154207004857272,2.562026933953388,0.9009861679415134,,,,,,,,,,,
57,48.0,2019.0,519.0,1454.712268742244,8.480129027801272,Trey Mancini,Orioles,27.0,0.29100000000000004,106.0,97.0,35.0,1.0,0.8039302926219157,2.685742299080018,2.482473601233506,2.7579338362947685,-0.249951001428936,,,,,,,,,,,
58,49.0,2019.0,532.0,1355.6915924080033,8.455676715107263,Yuli Gurriel,Astros,35.0,0.298,85.0,104.0,31.0,5.0,0.8554647624330273,2.0004038139638007,2.716347662280396,2.3661200316120072,0.5173404448180302,,,,,,,,,,,
59,50.0,2019.0,530.0,1381.8916227870673,8.375713693618403,Charlie Blackmon,Rockies,32.0,0.314,112.0,86.0,32.0,2.0,0.9732578362869975,2.881553294827509,2.114957219588393,2.4640734827826978,-0.058128139867194444,,,,,,,,,,,
60,51.0,2019.0,485.0,1336.6658952676014,8.370882863100531,Eddie Rosario,Twins,27.0,0.276,91.0,109.0,32.0,3.0,0.6934992858838187,2.1962148097112912,2.8834005630281747,2.4640734827826978,0.1336947216945471,,,,,,,,,,,
61,52.0,2019.0,419.0,1447.577186612899,8.315587725628259,Kevin Pillar,- - -,30.0,0.259,83.0,88.0,21.0,14.0,0.5683441449139754,1.9351334820479704,2.181778379887504,1.3865855199051047,2.2437461988737044,,,,,,,,,,,
62,53.0,2019.0,388.0,1322.3477987964752,8.269709338938457,Shin-Soo Choo,Rangers,36.0,0.265,93.0,61.0,24.0,15.0,0.6125165476092143,2.2614851416271216,1.279692715849499,1.6804458734171754,2.4355690604354456,,,,,,,,,,,
63,,2019.0,253.0,90.20930511714583,8.264115292106286,Kenley Jansen,Dodgers,31.0,,,,,,,,,,,9.0,80.0,3.71,1.0634920634920635,33.0,5.0,0.5099123697857912,-0.43793816481229836,-0.7354418403334197,6.0554675359926815,0.5253553811820946
64,54.0,2019.0,462.0,1400.657227730625,8.243880725540764,Paul Goldschmidt,Cardinals,31.0,0.26,97.0,97.0,34.0,3.0,0.5757062120298485,2.392025805458782,2.482473601233506,2.6599803851240784,0.1336947216945471,,,,,,,,,,,
65,55.0,2019.0,337.0,1211.0049311765076,8.195390482222386,Rougned Odor,Rangers,25.0,0.205,77.0,93.0,30.0,11.0,0.17079252065682632,1.7393224863004797,2.3488312806352827,2.268166580441317,1.6682776141884796,,,,,,,,,,,
66,,2019.0,318.0,105.99572122755208,8.192402911815725,Felipe Vazquez,Pirates,27.0,,,,,,,,,,,10.0,90.0,1.65,0.9333333333333333,28.0,5.0,0.6942859358401506,-0.940680807390938,-0.9360485277021855,5.0960322597003564,0.5253553811820946
67,56.0,2019.0,412.0,1353.8570839580107,8.169427255258316,Paul DeJong,Cardinals,25.0,0.233,97.0,78.0,30.0,9.0,0.3769303999012741,2.392025805458782,1.8476725783919468,2.268166580441317,1.2846318910649965,,,,,,,,,,,
68,57.0,2019.0,361.0,1420.2364275270636,8.09746859560106,Amed Rosario,Mets,23.0,0.287,75.0,72.0,15.0,19.0,0.7744820241584228,1.6740521543846494,1.6472090974946123,0.7988648128809629,3.202860506682412,,,,,,,,,,,
69,58.0,2019.0,387.0,1162.8023743677852,8.051690621206948,Yoan Moncada,White Sox,24.0,0.315,83.0,79.0,25.0,10.0,0.9806199034028705,1.9351334820479704,1.8810831585415024,1.7783993245878658,1.476454752626738,,,,,,,,,,,
70,59.0,2019.0,344.0,1127.6460111975848,8.022304160906156,Tim Anderson,White Sox,26.0,0.335,81.0,56.0,18.0,17.0,1.1278612457203332,1.86986315013214,1.1126398151017205,1.0927251663930337,2.819214783558929,,,,,,,,,,,
71,60.0,2019.0,464.0,1229.5885440910038,7.994583932685593,Kris Bryant,Cubs,27.0,0.282,108.0,77.0,31.0,4.0,0.7376716885790571,2.7510126309958483,1.814261998242391,2.3661200316120072,0.32551758325628866,,,,,,,,,,,
72,61.0,2019.0,418.0,1217.5179019170746,7.992743889229741,J.T. Realmuto,Phillies,28.0,0.275,92.0,83.0,25.0,9.0,0.6861372187679455,2.2288499756692066,2.0147254791397256,1.7783993245878658,1.2846318910649965,,,,,,,,,,,
73,62.0,2019.0,486.0,1314.0771389914426,7.937871515376296,Matt Chapman,Athletics,26.0,0.249,102.0,91.0,36.0,1.0,0.49472347375524406,2.5552016352483577,2.2820101203361713,2.8558872874654586,-0.249951001428936,,,,,,,,,,,
74,,2019.0,593.0,658.4426948061432,7.936503678185517,Shane Bieber,Indians,24.0,,,,,,,,,,,11.0,259.0,3.28,1.0555815039701075,0.0,15.0,3.8101992021588247,-0.542879590204927,-0.7476339625137589,-0.2768052875366609,3.112596210844667
75,,2019.0,321.0,177.63241766340607,7.899927482295981,Liam Hendriks,Athletics,30.0,,,,,,,,,,,12.0,124.0,1.8,0.9647058823529412,25.0,4.0,1.3211560604249726,-0.9040733334167652,-0.8876956963134442,4.520371093924962,0.26663129821583725
76,,2019.0,522.0,576.9505379479568,7.8533829300757585,Charlie Morton,Rays,35.0,,,,,,,,,,,13.0,240.0,3.05,1.086508753861998,0.0,16.0,3.4598894266555416,-0.5990110502986586,-0.699967446847295,-0.2768052875366609,3.3713202938109244
77,63.0,2019.0,494.0,1130.7454080703155,7.823487437181238,Anthony Rizzo,Cubs,29.0,0.293,89.0,94.0,27.0,5.0,0.8186544268536616,2.1309444777954614,2.3822418607848386,1.9743062269292464,0.5173404448180302,,,,,,,,,,,
78,64.0,2019.0,415.0,1079.691276842826,7.8052312764291045,Brett Gardner,Yankees,35.0,0.251,86.0,74.0,28.0,10.0,0.5094476079869903,2.0330389799217157,1.7140302577937239,2.0722596780999365,1.476454752626738,,,,,,,,,,,
79,65.0,2019.0,335.0,947.7901521263834,7.798962316966578,Ramon Laureano,Athletics,24.0,0.28800000000000003,79.0,67.0,24.0,13.0,0.7818440912742963,1.8045928182163098,1.4801561967468335,1.6804458734171754,2.0519233373119627,,,,,,,,,,,
80,66.0,2019.0,489.0,1154.166540875212,7.7960064727426985,Max Kepler,Twins,26.0,0.252,98.0,90.0,36.0,1.0,0.5168096751028635,2.424660971416697,2.2485995401866155,2.8558872874654586,-0.249951001428936,,,,,,,,,,,
81,67.0,2019.0,460.0,1096.043514503172,7.775722836013992,Jose Altuve,Astros,29.0,0.298,89.0,74.0,31.0,6.0,0.8554647624330273,2.1309444777954614,1.7140302577937239,2.3661200316120072,0.7091633063797718,,,,,,,,,,,
82,68.0,2019.0,333.0,1043.2535277472905,7.758815099140223,Kolten Wong,Cardinals,28.0,0.285,61.0,59.0,11.0,24.0,0.7597578899266765,1.2171598309738378,1.2128715555503877,0.4070510081982019,4.16197481449112,,,,,,,,,,,
83,,2019.0,213.0,146.22888841658053,7.747469702943617,Raisel Iglesias,Reds,29.0,,,,,,,,,,,14.0,89.0,4.16,1.2238805970149254,34.0,3.0,0.6758485792347148,-0.32811574288977996,-0.4882435743183952,6.247354591251146,0.007907215249580005
84,69.0,2019.0,449.0,1152.818224034067,7.713670607386544,Kyle Schwarber,Cubs,26.0,0.25,82.0,92.0,38.0,2.0,0.5020855408711172,1.9024983160900553,2.3154207004857272,3.0517941898068393,-0.058128139867194444,,,,,,,,,,,
85,,2019.0,463.0,1009.197651271949,7.606079320490437,Lance Lynn,Rangers,32.0,,,,,,,,,,,15.0,246.0,3.67,1.2205670350792888,0.0,16.0,3.5705135662881573,-0.4477001578720778,-0.4933505900559385,-0.2768052875366609,3.3713202938109244
86,,2019.0,538.0,905.2125998882527,7.579957196273742,Zack Greinke,- - -,35.0,,,,,,,,,,,16.0,187.0,2.93,0.9846301633045149,0.0,18.0,2.482709526567437,-0.6282970294779968,-0.8569874680215311,-0.2768052875366609,3.8887684597434387
87,,2019.0,440.0,598.1672318732504,7.571922050390086,Eduardo Rodriguez,Red Sox,26.0,,,,,,,,,,,17.0,213.0,3.81,1.329394387001477,0.0,19.0,2.9620807983087714,-0.4135331821628498,-0.32562081474542875,-0.2768052875366609,4.1474925427096965
88,70.0,2019.0,394.0,1126.5294170378545,7.54502496125374,Christian Walker,Diamondbacks,28.0,0.259,86.0,73.0,29.0,8.0,0.5683441449139754,2.0330389799217157,1.680619677644168,2.170213129270627,1.0928090295032549,,,,,,,,,,,
89,71.0,2019.0,443.0,1244.0752076053213,7.479081660738061,Manny Machado,Padres,26.0,0.256,81.0,85.0,32.0,5.0,0.546257943566356,1.86986315013214,2.081546639438837,2.4640734827826978,0.5173404448180302,,,,,,,,,,,
90,,2019.0,264.0,97.15531101345327,7.462967173298102,Taylor Rogers,Twins,28.0,,,,,,,,,,,18.0,90.0,2.61,1.0,30.0,2.0,0.6942859358401506,-0.7063929739562321,-0.8332987610011103,5.479806370217286,-0.25081686771667727
91,72.0,2019.0,395.0,1187.3763476807173,7.41662191580895,Adam Eaton,Nationals,30.0,0.27899999999999997,103.0,49.0,15.0,15.0,0.7155854872314377,2.5878368012062727,0.8787657540548303,0.7988648128809629,2.4355690604354456,,,,,,,,,,,
92,73.0,2019.0,470.0,1092.1889274270309,7.408758151236099,Mike Moustakas,Brewers,30.0,0.254,80.0,87.0,35.0,3.0,0.5315338093346097,1.837227984174225,2.1483677997379482,2.7579338362947685,0.1336947216945471,,,,,,,,,,,
93,74.0,2019.0,286.0,672.4938017738848,7.33684283633449,Fernando Tatis Jr.,Padres,20.0,0.317,61.0,53.0,22.0,16.0,0.9953440376346169,1.2171598309738378,1.0124080746530533,1.4845389710757948,2.6273919219971873,,,,,,,,,,,
94,75.0,2019.0,483.0,1297.129950765196,7.242895738996927,Jorge Polanco,Twins,25.0,0.295,107.0,79.0,22.0,4.0,0.8333785610854079,2.7183774650379333,1.8810831585415024,1.4845389710757948,0.32551758325628866,,,,,,,,,,,
95,,2019.0,285.0,110.94303544232851,7.2220096117907016,Brandon Workman,Red Sox,30.0,,,,,,,,,,,19.0,104.0,1.88,1.0393258426966292,16.0,10.0,0.9524089283162539,-0.8845493472972064,-0.7726879435650829,2.793387596598778,1.8189757960133808
96,,2019.0,246.0,108.50816574692543,7.2001004562570765,Hector Neris,Phillies,30.0,,,,,,,,,,,20.0,89.0,2.93,1.0267857142857142,28.0,3.0,0.6758485792347148,-0.6282970294779968,-0.7920153725944284,5.0960322597003564,0.007907215249580005
97,76.0,2019.0,408.0,1121.5429570472006,7.199993083458008,Kole Calhoun,Angels,31.0,0.23199999999999998,92.0,74.0,33.0,4.0,0.36956833278540074,2.2288499756692066,1.7140302577937239,2.562026933953388,0.32551758325628866,,,,,,,,,,,
98,,2019.0,251.0,82.07973871546784,7.187673046710267,Alex Colome,White Sox,30.0,,,,,,,,,,,21.0,55.0,2.8,1.0655737704918034,30.0,4.0,0.048978454649892735,-0.66002350692228,-0.7322334167049707,5.479806370217286,0.26663129821583725
99,77.0,2019.0,221.0,796.0398707583283,7.174426871500767,Jarrod Dyson,Diamondbacks,34.0,0.23,65.0,27.0,7.0,30.0,0.3548441985536547,1.3477004948054985,0.14373299076460394,0.015237203515440743,5.312911983861569,,,,,,,,,,,
100,78.0,2019.0,361.0,920.2941186254901,7.170891637729304,Ryan Braun,Brewers,35.0,0.285,70.0,75.0,22.0,11.0,0.7597578899266765,1.5108763245950738,1.7474408379432795,1.4845389710757948,1.6682776141884796,,,,,,,,,,,
101,,2019.0,568.0,597.5377559991617,7.166295850333352,Jacob deGrom,Mets,31.0,,,,,,,,,,,22.0,255.0,2.43,0.9705882352941176,0.0,11.0,3.7364497757370807,-0.7503219427252394,-0.8786295404280553,-0.2768052875366609,2.077699878979638
102,,2019.0,475.0,583.3202849591147,7.159178158986551,Luis Castillo,Reds,26.0,,,,,,,,,,,23.0,226.0,3.4,1.146161934805468,0.0,15.0,3.2017664341794387,-0.5135936110255888,-0.6080271904735165,-0.2768052875366609,3.112596210844667
103,,2019.0,508.0,640.872344957766,7.101273872465029,Patrick Corbin,Nationals,29.0,,,,,,,,,,,24.0,238.0,3.25,1.183168316831683,0.0,14.0,3.42301471344467,-0.5502010849997616,-0.5509912336788494,-0.2768052875366609,2.8538721278784096
104,,2019.0,497.0,492.7865208677472,7.056943580528488,Lucas Giolito,White Sox,24.0,,,,,,,,,,,25.0,228.0,3.41,1.0669693530079456,0.0,14.0,3.2386411473903105,-0.5111531127606439,-0.730082480035785,-0.2768052875366609,2.8538721278784096
