Roto_Rank_Pit,Season,Points,Total_Z,Name,Team,Age,K,ERA,WHIP,Saves,Wins,K_zscore,ERA_zscore,WHIP_zscore,Saves_zscore,Wins_zscore
33,2019.0,242.0,6.509597560029694,Emilio Pagan,Rays,28.0,96.0,2.31,0.8285714285714286,20.0,4.0,0.8049100754727663,-0.7796079219045777,-1.097512446803875,3.5609358176326373,0.26663129821583725
34,2019.0,355.0,6.4346066568473725,Domingo German,Yankees,26.0,153.0,4.03,1.1468531468531469,0.0,18.0,1.8558394019826148,-0.359842220334063,-0.6069618623239167,-0.2768052875366609,3.8887684597434387
35,2019.0,216.0,6.330069757768492,Luke Jackson,Braves,27.0,106.0,3.84,1.412742382271468,18.0,9.0,0.9892836415271258,-0.4062116873680153,-0.19716100871052045,3.1771617071157072,1.5602517130471234
36,2019.0,367.0,6.252816577939237,Max Fried,Braves,25.0,173.0,4.02,1.337772397094431,0.0,17.0,2.224586534091334,-0.362282718599008,-0.31270823600837455,-0.2768052875366609,3.6300443767771813
37,2019.0,439.0,6.23041162389103,Mike Minor,Rangers,31.0,200.0,3.59,1.2397885631907737,0.0,14.0,2.722395162438104,-0.4672241439916366,-0.46372547711954004,-0.2768052875366609,2.8538721278784096
38,2019.0,490.0,6.212519628030833,Hyun-Jin Ryu,Dodgers,32.0,163.0,2.32,1.0098792535675083,0.0,14.0,2.040212968036974,-0.7771674236396329,-0.8180723960124767,-0.2768052875366609,2.8538721278784096
39,2019.0,400.0,6.200285563018673,Trevor Bauer,- - -,28.0,253.0,4.48,1.2488262910798122,0.0,11.0,3.699575062526209,-0.2500197984115446,-0.44979611063794234,-0.2768052875366609,2.077699878979638
40,2019.0,268.0,6.171293161856715,Ken Giles,Blue Jays,28.0,83.0,1.87,1.0,23.0,2.0,0.5652244396020991,-0.8869898455621512,-0.8332987610011103,4.136596983408032,-0.25081686771667727
41,2019.0,375.0,6.152729782375101,Jake Odorizzi,Twins,29.0,178.0,3.51,1.2075471698113207,0.0,15.0,2.316773317118513,-0.48674813011119544,-0.5134174118373858,-0.2768052875366609,3.112596210844667
42,2019.0,421.0,6.139996719455498,Jose Berrios,Twins,25.0,195.0,3.68,1.2243878060969515,0.0,14.0,2.6302083794109246,-0.4452596596071329,-0.4874618400956924,-0.2768052875366609,2.8538721278784096
43,2019.0,422.0,6.13783622412267,Aaron Nola,Phillies,26.0,229.0,3.87,1.2666996536368136,0.0,12.0,3.2570785039957464,-0.3988901925731807,-0.42224885314450805,-0.2768052875366609,2.3364239619458953
44,2019.0,363.0,6.10527111458653,James Paxton,Yankees,30.0,186.0,3.82,1.2849533954727033,0.0,15.0,2.4642721699620007,-0.411092683897905,-0.3941153374186182,-0.2768052875366609,3.112596210844667
45,2019.0,375.0,6.0145330715344585,Robbie Ray,Diamondbacks,27.0,235.0,4.34,1.344055140723722,0.0,12.0,3.367702643628362,-0.28418677412077264,-0.3030249793760899,-0.2768052875366609,2.3364239619458953
46,2019.0,441.0,5.960564129897138,Sonny Gray,Reds,29.0,205.0,2.87,1.0850942318675043,0.0,11.0,2.814581945465284,-0.642940019067666,-0.7021475739212114,-0.2768052875366609,2.077699878979638
47,2019.0,381.0,5.898841811768746,Mike Clevinger,Indians,28.0,169.0,2.71,1.0555555555555556,0.0,13.0,2.15083710766959,-0.6819879913067836,-0.747673955416881,-0.2768052875366609,2.5951480449121527
48,2019.0,204.0,5.72506424402612,Carlos Martinez,Cardinals,27.0,53.0,3.17,1.185031185031185,24.0,4.0,0.012103741439020854,-0.5697250711193204,-0.5481200945854443,4.328484038666497,0.26663129821583725
49,2019.0,324.0,5.564315363548692,Marco Gonzales,Mariners,27.0,147.0,3.99,1.3103448275862069,0.0,16.0,1.7452152623499992,-0.3696042133938424,-0.354980881530588,-0.2768052875366609,3.3713202938109244
50,2019.0,332.0,5.552645818322588,Dakota Hudson,Cardinals,24.0,136.0,3.35,1.4121699196326063,1.0,16.0,1.5424043396902039,-0.525796102350313,-0.19804331474934223,-0.08491823227819599,3.3713202938109244
51,2019.0,155.0,5.549475937184517,Edwin Diaz,Mets,25.0,99.0,5.59,1.3793103448275863,26.0,2.0,0.8602221452890741,0.020875508997333897,-0.24868801942602722,4.712258149183427,-0.25081686771667727
