team_id,Trade Block,Positions,Player,Player Salary,Keeping
14,,SP,Merrill Kelly,1.0,X
14,,SP,Mike Fiers,1.0,X
14,,SP,Kenta Maeda,12.0,X
14,,SP,Mike Leake,2.0,X
14,,SP,Julio Teheran,8.0,X
14,,RP,Jose Alvarado,8.0,X
14,,RP,Brandon Woodruff,3.0,X
14,,BE,Brett Anderson,1.0,X
14,,BE,Brandon Nimmo,15.0,X
14,,BE,Jay Bruce,1.0,X
14,,BE,Jonathan Loaisiga,10.0,X
14,,BE,,,X
14,,BE,Ryan Yarbrough,1.0,X
14,,BE,Kyle Seager,6.0,X
14,,BE,Greg Holland,1.0,X
14,,BE,Ketel Marte,9.0,X
14,,BE,Josh Donaldson,22.0,X
14,,BE,,,X
14,,DL,Aaron Hicks,1.0,X
14,,DL,Joey Lucchesi,6.0,X
